CallID,RepID,PhysicianID,CallDate,Status
CALL000087,REP010,PHY0058,2026-06-01,Completed
CALL000088,REP010,PHY0058,2026-06-26,Completed
CALL000089,REP010,PHY0057,2026-06-14,Completed
CALL000090,REP010,PHY0057,2026-06-19,Completed
CALL000091,REP010,PHY0057,2026-06-20,Completed
CALL000092,REP010,PHY0057,2026-06-05,Completed
CALL000093,REP010,PHY0061,2026-06-19,No Show
CALL000094,REP010,PHY0061,2026-06-21,Completed
CALL000095,REP010,PHY0061,2026-06-19,Completed
CALL000096,REP010,PHY0062,2026-06-30,Completed
CALL000097,REP010,PHY0062,2026-06-27,Completed
CALL000098,REP010,PHY0062,2026-06-07,Completed
CALL000099,REP010,PHY0060,2026-06-22,Completed
CALL000100,REP010,PHY0060,2026-06-08,Completed
CALL000101,REP010,PHY0059,2026-06-27,Completed
CALL000102,REP010,PHY0059,2026-06-20,Completed
CALL000103,REP011,PHY0065,2026-06-16,Completed
CALL000104,REP011,PHY0065,2026-06-19,Completed
CALL000105,REP011,PHY0065,2026-06-09,Completed
CALL000106,REP011,PHY0065,2026-06-12,Completed
CALL000107,REP011,PHY0071,2026-06-18,Completed
CALL000108,REP011,PHY0071,2026-06-20,Completed
CALL000109,REP011,PHY0068,2026-06-03,Completed
CALL000110,REP011,PHY0068,2026-06-25,Completed
CALL000111,REP011,PHY0068,2026-06-09,Completed
CALL000112,REP011,PHY0068,2026-06-06,Completed
CALL000113,REP011,PHY0069,2026-06-09,Completed
CALL000114,REP011,PHY0069,2026-06-03,Completed
CALL000115,REP012,PHY0072,2026-06-10,Completed
CALL000116,REP012,PHY0072,2026-06-22,Completed
CALL000117,REP012,PHY0072,2026-06-02,Completed
CALL000118,REP012,PHY0074,2026-06-03,Completed
CALL000119,REP012,PHY0076,2026-06-12,Completed
CALL000120,REP012,PHY0076,2026-06-08,Completed
CALL000121,REP012,PHY0076,2026-06-23,Completed
CALL000122,REP012,PHY0076,2026-06-11,Completed
CALL000123,REP012,PHY0075,2026-06-30,Completed
CALL000124,REP012,PHY0075,2026-06-13,Completed
CALL000125,REP012,PHY0075,2026-06-30,Completed
CALL000126,REP012,PHY0075,2026-06-11,Completed
CALL000127,REP012,PHY0075,2026-06-30,Completed
CALL000128,REP013,PHY0079,2026-06-20,Completed
CALL000129,REP013,PHY0079,2026-06-01,Completed
CALL000130,REP013,PHY0079,2026-06-30,Completed
CALL000131,REP013,PHY0083,2026-06-26,Completed
CALL000132,REP013,PHY0083,2026-06-28,Completed
CALL000133,REP013,PHY0083,2026-06-17,Completed
CALL000134,REP013,PHY0082,2026-06-13,Completed
CALL000135,REP013,PHY0082,2026-06-04,Completed
CALL000136,REP013,PHY0082,2026-06-02,Completed
CALL000137,REP013,PHY0081,2026-06-29,Completed
CALL000138,REP013,PHY0081,2026-06-25,Completed
CALL000139,REP013,PHY0084,2026-06-27,No Show
CALL000140,REP013,PHY0084,2026-06-26,No Show
CALL000141,REP013,PHY0084,2026-06-02,Completed
CALL000142,REP014,PHY0088,2026-06-22,Completed
CALL000143,REP014,PHY0088,2026-06-11,Completed
CALL000144,REP014,PHY0088,2026-06-23,Completed
CALL000145,REP014,PHY0085,2026-06-24,Completed
CALL000146,REP014,PHY0085,2026-06-11,Completed
CALL000147,REP014,PHY0089,2026-06-01,Completed
CALL000148,REP014,PHY0089,2026-06-26,Completed
CALL000149,REP014,PHY0087,2026-06-03,Completed
CALL000150,REP014,PHY0087,2026-06-26,Completed
CALL000151,REP014,PHY0091,2026-06-19,Completed
CALL000152,REP014,PHY0091,2026-06-26,Completed
CALL000153,REP014,PHY0091,2026-06-14,Completed
CALL000154,REP015,PHY0096,2026-06-11,Completed
CALL000155,REP015,PHY0092,2026-06-20,Completed
CALL000156,REP015,PHY0092,2026-06-13,No Show
CALL000157,REP015,PHY0092,2026-06-30,Completed
CALL000158,REP015,PHY0092,2026-06-09,Completed
CALL000159,REP015,PHY0093,2026-06-19,Completed
CALL000160,REP015,PHY0093,2026-06-15,Completed
CALL000161,REP015,PHY0093,2026-06-02,Completed
CALL000162,REP015,PHY0094,2026-06-14,Completed
CALL000163,REP015,PHY0094,2026-06-20,Completed
CALL000164,REP016,PHY0098,2026-06-29,Completed
CALL000165,REP016,PHY0098,2026-06-21,Completed
CALL000166,REP016,PHY0098,2026-06-10,Completed
CALL000167,REP016,PHY0100,2026-06-16,Completed
CALL000168,REP016,PHY0100,2026-06-19,Completed
CALL000169,REP016,PHY0100,2026-06-26,Completed
CALL000170,REP016,PHY0100,2026-06-16,Completed
CALL000171,REP016,PHY0102,2026-06-24,Completed
CALL000172,REP016,PHY0102,2026-06-28,Completed
CALL000173,REP016,PHY0102,2026-06-14,Completed
CALL000174,REP016,PHY0102,2026-06-20,No Show
CALL000175,REP016,PHY0102,2026-06-20,Completed
