SalesID,RepID,ProductID,Amount,Date
SALE000069,REP010,PROD003,4750.0,2026-06-24
SALE000070,REP010,PROD003,47500.0,2026-06-06
SALE000071,REP010,PROD004,425.0,2026-06-29
SALE000072,REP010,PROD002,25000.0,2026-06-03
SALE000073,REP011,PROD001,12000.0,2026-06-08
SALE000074,REP011,PROD001,6000.0,2026-06-08
SALE000075,REP011,PROD001,12000.0,2026-06-11
SALE000076,REP011,PROD004,425.0,2026-06-08
SALE000077,REP011,PROD002,12500.0,2026-06-11
SALE000078,REP011,PROD002,12500.0,2026-06-21
SALE000079,REP011,PROD004,425.0,2026-06-24
SALE000080,REP011,PROD003,4750.0,2026-06-02
SALE000081,REP011,PROD002,5000.0,2026-06-04
SALE000082,REP012,PROD002,25000.0,2026-06-03
SALE000083,REP012,PROD004,1700.0,2026-06-24
SALE000084,REP012,PROD002,2500.0,2026-06-10
SALE000085,REP012,PROD003,4750.0,2026-06-11
SALE000086,REP012,PROD003,19000.0,2026-06-20
SALE000087,REP012,PROD002,2500.0,2026-06-08
SALE000088,REP012,PROD004,850.0,2026-06-10
SALE000089,REP012,PROD001,600.0,2026-06-07
SALE000090,REP012,PROD004,4250.0,2026-06-18
SALE000091,REP012,PROD003,9500.0,2026-06-03
SALE000092,REP012,PROD002,1250.0,2026-06-14
SALE000093,REP012,PROD003,9500.0,2026-06-29
SALE000094,REP013,PROD001,600.0,2026-06-14
SALE000095,REP013,PROD001,600.0,2026-06-19
SALE000096,REP013,PROD002,12500.0,2026-06-23
SALE000097,REP013,PROD002,2500.0,2026-06-30
SALE000098,REP013,PROD004,425.0,2026-06-01
SALE000099,REP013,PROD004,850.0,2026-06-29
SALE000100,REP013,PROD004,8500.0,2026-06-17
SALE000101,REP013,PROD002,25000.0,2026-06-04
SALE000102,REP013,PROD004,850.0,2026-06-21
SALE000103,REP013,PROD001,600.0,2026-06-05
SALE000104,REP013,PROD002,12500.0,2026-06-11
SALE000105,REP013,PROD002,2500.0,2026-06-03
SALE000106,REP013,PROD004,850.0,2026-06-10
SALE000107,REP013,PROD003,47500.0,2026-06-22
SALE000108,REP013,PROD002,25000.0,2026-06-14
SALE000109,REP013,PROD003,4750.0,2026-06-09
SALE000110,REP013,PROD003,95000.0,2026-06-02
SALE000111,REP014,PROD004,850.0,2026-06-13
SALE000112,REP014,PROD003,9500.0,2026-06-11
SALE000113,REP014,PROD002,5000.0,2026-06-07
SALE000114,REP014,PROD004,1700.0,2026-06-14
SALE000115,REP014,PROD003,9500.0,2026-06-19
SALE000116,REP014,PROD002,25000.0,2026-06-03
SALE000117,REP014,PROD001,2400.0,2026-06-28
SALE000118,REP014,PROD002,1250.0,2026-06-13
SALE000119,REP014,PROD002,1250.0,2026-06-17
SALE000120,REP014,PROD003,19000.0,2026-06-18
SALE000121,REP014,PROD001,1200.0,2026-06-19
SALE000122,REP014,PROD002,5000.0,2026-06-09
SALE000123,REP014,PROD003,4750.0,2026-06-16
SALE000124,REP014,PROD002,2500.0,2026-06-30
SALE000125,REP014,PROD001,600.0,2026-06-13
SALE000126,REP014,PROD004,425.0,2026-06-15
SALE000127,REP014,PROD002,12500.0,2026-06-12
SALE000128,REP014,PROD004,4250.0,2026-06-30
SALE000129,REP014,PROD004,425.0,2026-06-21
SALE000130,REP014,PROD001,600.0,2026-06-15
SALE000131,REP014,PROD001,600.0,2026-06-04
SALE000132,REP014,PROD001,1200.0,2026-06-12
SALE000133,REP014,PROD004,850.0,2026-06-19
SALE000134,REP014,PROD001,2400.0,2026-06-20
SALE000135,REP014,PROD002,12500.0,2026-06-30
SALE000136,REP014,PROD003,19000.0,2026-06-15
SALE000137,REP014,PROD001,12000.0,2026-06-30
SALE000138,REP014,PROD001,6000.0,2026-06-21
SALE000139,REP014,PROD004,425.0,2026-06-15
SALE000140,REP014,PROD001,600.0,2026-06-07
SALE000141,REP014,PROD002,5000.0,2026-06-21
SALE000142,REP014,PROD001,6000.0,2026-06-11
SALE000143,REP014,PROD004,4250.0,2026-06-08
SALE000144,REP014,PROD002,12500.0,2026-06-25
SALE000145,REP014,PROD003,9500.0,2026-06-25
SALE000146,REP015,PROD003,95000.0,2026-06-22
SALE000147,REP015,PROD003,19000.0,2026-06-18
SALE000148,REP015,PROD003,47500.0,2026-06-04
SALE000149,REP015,PROD002,1250.0,2026-06-04
SALE000150,REP016,PROD001,2400.0,2026-06-08
SALE000151,REP016,PROD002,12500.0,2026-06-13
SALE000152,REP016,PROD001,1200.0,2026-06-24
SALE000153,REP016,PROD003,95000.0,2026-06-17
SALE000154,REP016,PROD003,9500.0,2026-06-08
